*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,23,5474.744,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,23,3823.578,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,22,4112,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,22,5627.114,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,22,3832.111,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,21,3753,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,21,5627.114,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,21,3832.111,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,20,3395,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,20,5663.954,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,20,3812.131,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,19,2965,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,19,5663.954,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,19,3812.131,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,18,2479,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,18,5591.978,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,18,3765.391,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,17,1977,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,17,5591.978,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,17,3765.391,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,16,1502,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,16,5574.289,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,16,3759.487,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,15,1091,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,15,5574.289,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,15,3759.487,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,14,735,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,14,5559.906,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,14,3798.096,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,13,425,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,13,5559.906,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,13,3798.096,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,12,189,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,12,5533.099,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,12,3859.299,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,11,54,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236552,Wind generation,"Wind Offshore",2021-05-25,Day Ahead,11,5533.099,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236553,Wind generation,"Wind Onshore",2021-05-25,Day Ahead,11,3859.299,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
NGET-EMFIP-DGWS-TS-06236554,Solar generation,"Solar",2021-05-25,Day Ahead,10,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239786,1
