*
*
*Day Ahead Generation forecasts For Wind And Solar Service (B1440) Data
*
*Time Series ID,Business Type,Power System Resource  Type,Settlement Date,Process Type,Settlement Period,Quantity,Document Type,Curve Type,Resolution,Active Flag,Document ID,Document RevNum
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,17,3008.219,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,17,1583.51,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,16,2128,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,16,2991.87,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,16,1586.182,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,15,1572,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,15,2991.87,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,15,1586.182,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,14,1066,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,14,2782.033,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,14,1571.928,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,13,637,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,13,2782.033,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,13,1571.928,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,12,309,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,12,2562.855,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,12,1564.264,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,11,101,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,11,2562.855,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,11,1564.264,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,10,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,10,2386.573,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,10,1568.715,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,9,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,9,2386.573,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,9,1568.715,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,8,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,8,2348.217,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,8,1550.215,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,7,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236555,Wind generation,"Wind Offshore",2021-05-26,Day Ahead,7,2348.217,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236556,Wind generation,"Wind Onshore",2021-05-26,Day Ahead,7,1550.215,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
NGET-EMFIP-DGWS-TS-06236557,Solar generation,"Solar",2021-05-26,Day Ahead,6,0,Wind and solar forecast,Sequential fixed size block,PT30M,Y,NGET-EMFIP-DGWS-06239787,1
